M1,Крабовидная туманность,Supernova Remnant,5.575,22.017,8.4,Телец,6500,6.0
M2,Шаровое скопление,Globular Cluster,21.558,-0.817,6.5,Водолей,55000,16.0
M3,Шаровое скопление,Globular Cluster,13.703,28.383,6.2,Гончие Псы,33900,18.0
M4,Шаровое скопление,Globular Cluster,16.392,-26.525,5.9,Скорпион,7200,26.0
M5,Шаровое скопление,Globular Cluster,15.308,2.083,5.7,Змея,24500,23.0
M6,Рассеянное скопление,Open Cluster,17.669,-32.217,4.2,Скорпион,1600,25.0
M7,Рассеянное скопление,Open Cluster,17.897,-34.783,3.3,Скорпион,980,80.0
M8,Туманность Лагуна,Nebula,18.064,-24.383,6.0,Стрелец,5200,90.0
M9,Шаровое скопление,Globular Cluster,17.317,-18.517,7.9,Змееносец,25800,12.0
M10,Шаровое скопление,Globular Cluster,16.951,-4.1,6.6,Змееносец,14300,20.0
M11,Скопление Дикая Утка,Open Cluster,18.851,-6.267,6.3,Щит,6200,14.0
M12,Шаровое скопление,Globular Cluster,16.786,-1.95,6.7,Змееносец,15700,16.0
M13,Шаровое скопление Геркулеса,Globular Cluster,16.695,36.45,5.8,Геркулес,25100,20.0
M14,Шаровое скопление,Globular Cluster,17.628,-3.25,7.6,Змееносец,30300,11.0
M15,Шаровое скопление,Globular Cluster,21.5,12.167,6.2,Пегас,33600,18.0
M16,Туманность Орёл,Nebula,18.314,-13.783,6.4,Змея,7000,7.0
M17,Туманность Омега,Nebula,18.345,-16.183,6.0,Стрелец,5500,11.0
M18,Рассеянное скопление,Open Cluster,18.331,-17.1,7.5,Стрелец,4900,9.0
M19,Шаровое скопление,Globular Cluster,17.044,-26.267,7.2,Змееносец,28700,17.0
M20,Трёхраздельная туманность,Nebula,18.042,-23.033,6.3,Стрелец,5200,28.0
M21,Рассеянное скопление,Open Cluster,18.075,-22.5,6.5,Стрелец,4250,13.0
M22,Шаровое скопление,Globular Cluster,18.606,-23.9,5.1,Стрелец,10400,32.0
M23,Рассеянное скопление,Open Cluster,17.95,-19.017,6.9,Стрелец,2150,27.0
M24,Звёздное облако Стрельца,Star Cloud,18.283,-18.55,4.6,Стрелец,10000,90.0
M25,Рассеянное скопление,Open Cluster,18.528,-19.25,4.6,Стрелец,2000,40.0
M26,Рассеянное скопление,Open Cluster,18.756,-9.383,8.0,Щит,5000,15.0
M27,Туманность Гантель,Planetary Nebula,19.992,22.721,7.5,Лисичка,1360,8.0
M28,Шаровое скопление,Globular Cluster,18.408,-24.867,7.0,Стрелец,17900,11.0
M29,Рассеянное скопление,Open Cluster,20.399,38.517,7.1,Лебедь,4000,7.0
M30,Шаровое скопление,Globular Cluster,21.675,-23.183,7.5,Козерог,27100,12.0
M31,Галактика Андромеды,Galaxy,0.712,41.269,3.4,Андромеда,2500000,190.0
M32,Карликовая эллиптическая галактика,Galaxy,0.712,40.867,8.1,Андромеда,2500000,8.0
M33,Галактика Треугольника,Galaxy,1.564,30.66,5.7,Треугольник,3000000,70.0
M34,Рассеянное скопление,Open Cluster,2.702,42.783,5.5,Персей,1500,35.0
M35,Рассеянное скопление,Open Cluster,6.15,24.333,5.3,Близнецы,2800,28.0
M36,Рассеянное скопление,Open Cluster,5.603,34.133,6.3,Возничий,4100,12.0
M37,Рассеянное скопление,Open Cluster,5.872,32.55,6.2,Возничий,4500,24.0
M38,Рассеянное скопление,Open Cluster,5.478,35.833,7.4,Возничий,4200,21.0
M39,Рассеянное скопление,Open Cluster,21.533,48.433,4.6,Лебедь,800,32.0
M40,Двойная звезда,Double Star,12.367,58.083,8.4,Большая Медведица,510,0.8
M41,Рассеянное скопление,Open Cluster,6.767,-20.733,4.5,Большой Пёс,2300,38.0
M42,Туманность Ориона,Nebula,5.588,-5.383,4.0,Орион,1344,65.0
M43,Туманность де Майрана,Nebula,5.592,-5.267,9.0,Орион,1600,20.0
M44,Ясли,Open Cluster,8.668,19.983,3.7,Рак,577,95.0
M45,Плеяды,Open Cluster,3.788,24.117,1.6,Телец,444,110.0
M46,Рассеянное скопление,Open Cluster,7.694,-14.817,6.0,Корма,5400,27.0
M47,Рассеянное скопление,Open Cluster,7.611,-14.483,5.2,Корма,1600,30.0
M48,Рассеянное скопление,Open Cluster,8.228,-5.8,5.5,Гидра,1500,54.0
M49,Эллиптическая галактика,Galaxy,12.497,8.0,8.4,Дева,56000000,10.0
M50,Рассеянное скопление,Open Cluster,7.044,-8.333,6.3,Единорог,3000,16.0
M51,Галактика Водоворот,Galaxy,13.498,47.195,8.4,Гончие Псы,23000000,11.0
M52,Рассеянное скопление,Open Cluster,23.404,61.583,7.3,Кассиопея,5000,13.0
M53,Шаровое скопление,Globular Cluster,13.216,18.167,7.6,Волосы Вероники,58000,13.0
M54,Шаровое скопление,Globular Cluster,18.92,-30.483,7.7,Стрелец,87400,12.0
M55,Шаровое скопление,Globular Cluster,19.667,-30.967,7.0,Стрелец,17600,19.0
M56,Шаровое скопление,Globular Cluster,19.278,30.183,8.3,Лира,32900,9.0
M57,Туманность Кольцо,Planetary Nebula,18.897,33.033,8.8,Лира,2300,1.5
M58,Спиральная галактика,Galaxy,12.63,11.817,9.7,Дева,68000000,6.0
M59,Эллиптическая галактика,Galaxy,12.7,11.65,9.6,Дева,60000000,5.0
M60,Эллиптическая галактика,Galaxy,12.728,11.55,8.8,Дева,55000000,7.0
M61,Спиральная галактика,Galaxy,12.365,4.467,9.7,Дева,52000000,6.0
M62,Шаровое скопление,Globular Cluster,17.021,-30.1,6.6,Змееносец,22500,15.0
M63,Галактика Подсолнух,Galaxy,13.262,42.033,8.6,Гончие Псы,37000000,12.0
M64,Галактика Чёрный Глаз,Galaxy,12.945,21.683,8.5,Волосы Вероники,17000000,10.0
M65,Спиральная галактика,Galaxy,11.315,13.083,9.3,Лев,35000000,9.0
M66,Спиральная галактика,Galaxy,11.337,12.983,8.9,Лев,36000000,9.0
